Groep;KRWwatertype.code;Abundatieklasse;Categorie;Score;
;M1a;1;1;9;
;M1a;1;2;5;
;M1a;1;3;2;
;M1a;1;4;1;
;M1a;1;5;0;
;M1a;2;1;8;
;M1a;2;2;4;
;M1a;2;3;1;
;M1a;2;4;0;
;M1a;2;5;-2;
;M1a;3;1;6;
;M1a;3;2;3;
;M1a;3;3;0;
;M1a;3;4;-3;
;M1a;3;5;-9;
;M1b;1;1;9;
;M1b;1;2;5;
;M1b;1;3;2;
;M1b;1;4;1;
;M1b;1;5;0;
;M1b;2;1;8;
;M1b;2;2;4;
;M1b;2;3;1;
;M1b;2;4;0;
;M1b;2;5;-2;
;M1b;3;1;6;
;M1b;3;2;3;
;M1b;3;3;0;
;M1b;3;4;-3;
;M1b;3;5;-9;
;M2;1;1;9;
;M2;1;2;5;
;M2;1;3;2;
;M2;1;4;1;
;M2;1;5;0;
;M2;2;1;8;
;M2;2;2;4;
;M2;2;3;1;
;M2;2;4;0;
;M2;2;5;-2;
;M2;3;1;6;
;M2;3;2;3;
;M2;3;3;0;
;M2;3;4;-3;
;M2;3;5;-9;
;M3;1;1;9;
;M3;1;2;5;
;M3;1;3;2;
;M3;1;4;1;
;M3;1;5;0;
;M3;2;1;8;
;M3;2;2;4;
;M3;2;3;1;
;M3;2;4;0;
;M3;2;5;-2;
;M3;3;1;6;
;M3;3;2;3;
;M3;3;3;0;
;M3;3;4;-3;
;M3;3;5;-9;
;M4;1;1;9;
;M4;1;2;5;
;M4;1;3;2;
;M4;1;4;1;
;M4;1;5;0;
;M4;2;1;8;
;M4;2;2;4;
;M4;2;3;1;
;M4;2;4;0;
;M4;2;5;-2;
;M4;3;1;6;
;M4;3;2;3;
;M4;3;3;0;
;M4;3;4;-3;
;M4;3;5;-9;
;M5;1;1;3;
;M5;1;2;3;
;M5;1;3;2;
;M5;1;4;1;
;M5;1;5;0;
;M5;2;1;5;
;M5;2;2;4;
;M5;2;3;2;
;M5;2;4;0;
;M5;2;5;-1;
;M5;3;1;6;
;M5;3;2;4;
;M5;3;3;0;
;M5;3;4;-1;
;M5;3;5;-3;
;M6a;1;1;9;
;M6a;1;2;5;
;M6a;1;3;2;
;M6a;1;4;1;
;M6a;1;5;0;
;M6a;2;1;8;
;M6a;2;2;4;
;M6a;2;3;1;
;M6a;2;4;0;
;M6a;2;5;-2;
;M6a;3;1;6;
;M6a;3;2;3;
;M6a;3;3;0;
;M6a;3;4;-3;
;M6a;3;5;-9;
;M6b;1;1;9;
;M6b;1;2;5;
;M6b;1;3;2;
;M6b;1;4;1;
;M6b;1;5;0;
;M6b;2;1;8;
;M6b;2;2;4;
;M6b;2;3;1;
;M6b;2;4;0;
;M6b;2;5;-2;
;M6b;3;1;6;
;M6b;3;2;3;
;M6b;3;3;0;
;M6b;3;4;-3;
;M6b;3;5;-9;
;M7a;1;1;9;
;M7a;1;2;5;
;M7a;1;3;2;
;M7a;1;4;1;
;M7a;1;5;0;
;M7a;2;1;8;
;M7a;2;2;4;
;M7a;2;3;1;
;M7a;2;4;0;
;M7a;2;5;-2;
;M7a;3;1;6;
;M7a;3;2;3;
;M7a;3;3;0;
;M7a;3;4;-3;
;M7a;3;5;-9;
;M7b;1;1;9;
;M7b;1;2;5;
;M7b;1;3;2;
;M7b;1;4;1;
;M7b;1;5;0;
;M7b;2;1;8;
;M7b;2;2;4;
;M7b;2;3;1;
;M7b;2;4;0;
;M7b;2;5;-2;
;M7b;3;1;6;
;M7b;3;2;3;
;M7b;3;3;0;
;M7b;3;4;-3;
;M7b;3;5;-9;
;M8;1;1;9;
;M8;1;2;5;
;M8;1;3;2;
;M8;1;4;1;
;M8;1;5;0;
;M8;2;1;8;
;M8;2;2;4;
;M8;2;3;1;
;M8;2;4;0;
;M8;2;5;-2;
;M8;3;1;6;
;M8;3;2;3;
;M8;3;3;0;
;M8;3;4;-3;
;M8;3;5;-9;
;M9;1;1;9;
;M9;1;2;5;
;M9;1;3;2;
;M9;1;4;1;
;M9;1;5;0;
;M9;2;1;8;
;M9;2;2;4;
;M9;2;3;1;
;M9;2;4;0;
;M9;2;5;-2;
;M9;3;1;6;
;M9;3;2;3;
;M9;3;3;0;
;M9;3;4;-3;
;M9;3;5;-9;
;M10;1;1;9;
;M10;1;2;5;
;M10;1;3;2;
;M10;1;4;1;
;M10;1;5;0;
;M10;2;1;8;
;M10;2;2;4;
;M10;2;3;1;
;M10;2;4;0;
;M10;2;5;-2;
;M10;3;1;6;
;M10;3;2;3;
;M10;3;3;0;
;M10;3;4;-3;
;M10;3;5;-9;
;M11;1;1;3;
;M11;1;2;3;
;M11;1;3;2;
;M11;1;4;1;
;M11;1;5;0;
;M11;2;1;5;
;M11;2;2;4;
;M11;2;3;2;
;M11;2;4;0;
;M11;2;5;-1;
;M11;3;1;6;
;M11;3;2;4;
;M11;3;3;0;
;M11;3;4;-1;
;M11;3;5;-3;
;M12;1;1;3;
;M12;1;2;3;
;M12;1;3;2;
;M12;1;4;1;
;M12;1;5;0;
;M12;2;1;5;
;M12;2;2;4;
;M12;2;3;2;
;M12;2;4;0;
;M12;2;5;-1;
;M12;3;1;6;
;M12;3;2;4;
;M12;3;3;0;
;M12;3;4;-1;
;M12;3;5;-3;
;M13;1;1;3;
;M13;1;2;3;
;M13;1;3;2;
;M13;1;4;1;
;M13;1;5;0;
;M13;2;1;5;
;M13;2;2;4;
;M13;2;3;2;
;M13;2;4;0;
;M13;2;5;-1;
;M13;3;1;6;
;M13;3;2;4;
;M13;3;3;0;
;M13;3;4;-1;
;M13;3;5;-3;
;M14;1;1;3;
;M14;1;2;3;
;M14;1;3;2;
;M14;1;4;1;
;M14;1;5;0;
;M14;2;1;5;
;M14;2;2;4;
;M14;2;3;2;
;M14;2;4;0;
;M14;2;5;-1;
;M14;3;1;6;
;M14;3;2;4;
;M14;3;3;0;
;M14;3;4;-1;
;M14;3;5;-3;
;M16;1;1;3;
;M16;1;2;3;
;M16;1;3;2;
;M16;1;4;1;
;M16;1;5;0;
;M16;2;1;5;
;M16;2;2;4;
;M16;2;3;2;
;M16;2;4;0;
;M16;2;5;-1;
;M16;3;1;6;
;M16;3;2;4;
;M16;3;3;0;
;M16;3;4;-1;
;M16;3;5;-3;
;M17;1;1;3;
;M17;1;2;3;
;M17;1;3;2;
;M17;1;4;1;
;M17;1;5;0;
;M17;2;1;5;
;M17;2;2;4;
;M17;2;3;2;
;M17;2;4;0;
;M17;2;5;-1;
;M17;3;1;6;
;M17;3;2;4;
;M17;3;3;0;
;M17;3;4;-1;
;M17;3;5;-3;
;M18;1;1;3;
;M18;1;2;3;
;M18;1;3;2;
;M18;1;4;1;
;M18;1;5;0;
;M18;2;1;5;
;M18;2;2;4;
;M18;2;3;2;
;M18;2;4;0;
;M18;2;5;-1;
;M18;3;1;6;
;M18;3;2;4;
;M18;3;3;0;
;M18;3;4;-1;
;M18;3;5;-3;
;M20;1;1;3;
;M20;1;2;3;
;M20;1;3;2;
;M20;1;4;1;
;M20;1;5;0;
;M20;2;1;5;
;M20;2;2;4;
;M20;2;3;2;
;M20;2;4;0;
;M20;2;5;-1;
;M20;3;1;6;
;M20;3;2;4;
;M20;3;3;0;
;M20;3;4;-1;
;M20;3;5;-3;
;M21;1;1;3;
;M21;1;2;3;
;M21;1;3;2;
;M21;1;4;1;
;M21;1;5;0;
;M21;2;1;5;
;M21;2;2;4;
;M21;2;3;2;
;M21;2;4;0;
;M21;2;5;-1;
;M21;3;1;6;
;M21;3;2;4;
;M21;3;3;0;
;M21;3;4;-1;
;M21;3;5;-3;
;M22;1;1;3;
;M22;1;2;3;
;M22;1;3;2;
;M22;1;4;1;
;M22;1;5;0;
;M22;2;1;5;
;M22;2;2;4;
;M22;2;3;2;
;M22;2;4;0;
;M22;2;5;-1;
;M22;3;1;6;
;M22;3;2;4;
;M22;3;3;0;
;M22;3;4;-1;
;M22;3;5;-3;
;M23;1;1;3;
;M23;1;2;3;
;M23;1;3;2;
;M23;1;4;1;
;M23;1;5;0;
;M23;2;1;5;
;M23;2;2;4;
;M23;2;3;2;
;M23;2;4;0;
;M23;2;5;-1;
;M23;3;1;6;
;M23;3;2;4;
;M23;3;3;0;
;M23;3;4;-1;
;M23;3;5;-3;
;M25;1;1;3;
;M25;1;2;3;
;M25;1;3;2;
;M25;1;4;1;
;M25;1;5;0;
;M25;2;1;5;
;M25;2;2;4;
;M25;2;3;2;
;M25;2;4;0;
;M25;2;5;-1;
;M25;3;1;6;
;M25;3;2;4;
;M25;3;3;0;
;M25;3;4;-1;
;M25;3;5;-3;
;M26;1;1;3;
;M26;1;2;3;
;M26;1;3;2;
;M26;1;4;1;
;M26;1;5;0;
;M26;2;1;5;
;M26;2;2;4;
;M26;2;3;2;
;M26;2;4;0;
;M26;2;5;-1;
;M26;3;1;6;
;M26;3;2;4;
;M26;3;3;0;
;M26;3;4;-1;
;M26;3;5;-3;
;M27;1;1;3;
;M27;1;2;3;
;M27;1;3;2;
;M27;1;4;1;
;M27;1;5;0;
;M27;2;1;5;
;M27;2;2;4;
;M27;2;3;2;
;M27;2;4;0;
;M27;2;5;-1;
;M27;3;1;6;
;M27;3;2;4;
;M27;3;3;0;
;M27;3;4;-1;
;M27;3;5;-3;
;M30;1;1;3;
;M30;1;2;3;
;M30;1;3;2;
;M30;1;4;1;
;M30;1;5;0;
;M30;2;1;5;
;M30;2;2;4;
;M30;2;3;2;
;M30;2;4;0;
