Familie;Familienummer;Biotaxon.naam_familie;Biotaxon.naam;
Ephemeroptera (haften);101;Ameletidae;Ameletidae;
Ephemeroptera (haften);101;Ameletidae;Ameletus;
Ephemeroptera (haften);101;Ameletidae;Metreletus;
Ephemeroptera (haften);101;Metreletus;Metreletus balcanicus;
Ephemeroptera (haften);102;Ametropodidae;Ametropodidae;
Ephemeroptera (haften);102;Ametropodidae;Ametropus;
Ephemeroptera (haften);102;Ametropus;Ametropus fragilis;
Ephemeroptera (haften);103;Arthroplea;Arthroplea congener;
Ephemeroptera (haften);103;Arthropleidae;Arthroplea;
Ephemeroptera (haften);103;Arthropleidae;Arthropleidae;
Ephemeroptera (haften);104;Baetidae;Baetidae;
Ephemeroptera (haften);104;Baetidae;Baetis;
Ephemeroptera (haften);104;Baetidae;Baetopus;
Ephemeroptera (haften);104;Baetidae;Centroptilum;
Ephemeroptera (haften);104;Baetidae;Cloeon;
Ephemeroptera (haften);104;Baetidae;Oligoneuriella;
Ephemeroptera (haften);104;Baetidae;Procloeon;
Ephemeroptera (haften);104;Baetidae;Pseudocentroptiloides;
Ephemeroptera (haften);104;Baetis;Baetis alpinus;
Ephemeroptera (haften);104;Baetis;Baetis atrebatinus;
Ephemeroptera (haften);104;Baetis;Baetis buceratus;
Ephemeroptera (haften);104;Baetis;Baetis digitatus;
Ephemeroptera (haften);104;Baetis;Baetis fuscatus;
Ephemeroptera (haften);104;Baetis;Baetis lutheri;
Ephemeroptera (haften);104;Baetis;Baetis melanonyx;
Ephemeroptera (haften);104;Baetis;Baetis muticus;
Ephemeroptera (haften);104;Baetis;Baetis niger;
Ephemeroptera (haften);104;Baetis;Baetis rhodani;
Ephemeroptera (haften);104;Baetis;Baetis scambus;
Ephemeroptera (haften);104;Baetis;Baetis tracheatus;
Ephemeroptera (haften);104;Baetis;Baetis vardarensis;
Ephemeroptera (haften);104;Baetis;Baetis vernus;
Ephemeroptera (haften);104;Baetopus;Baetopus tenellus;
Ephemeroptera (haften);104;Centroptilum;Centroptilum luteolum;
Ephemeroptera (haften);104;Cloeon;Cloeon cognatum;
Ephemeroptera (haften);104;Cloeon;Cloeon dipterum;
Ephemeroptera (haften);104;Cloeon;Cloeon inscriptum;
Ephemeroptera (haften);104;Cloeon;Cloeon praetextum;
Ephemeroptera (haften);104;Cloeon;Cloeon simile;
Ephemeroptera (haften);104;Oligoneuriella;Oligoneuriella rhenana;
Ephemeroptera (haften);104;Procloeon;Procloeon bifidum;
Ephemeroptera (haften);104;Procloeon;Procloeon parapulchrum;
Ephemeroptera (haften);104;Procloeon;Procloeon pennulatum;
Ephemeroptera (haften);104;Procloeon;Procloeon pulchrum;
Ephemeroptera (haften);104;Pseudocentroptiloides;Pseudocentroptiloides nana;
Ephemeroptera (haften);105;Brachycercus;Brachycercus harrisella;
Ephemeroptera (haften);105;Caenidae;Brachycercus;
