Normgroep.omschrijving;KRWwatertype.code;Chloride(mg/l)_laag;Chloride(mg/l)_hoog;Constante_KMmax;Constante_PTmax;Constante_DNmax;
KRW-maatlatten-2012 - Macrofauna;M10;;;;85;35;
KRW-maatlatten-2018 - Macrofauna;M10;;;;85;35;
KRW-maatlatten-2012 - Macrofauna;M11;;;26;;;
KRW-maatlatten-2018 - Macrofauna;M11;;;26;;;
KRW-maatlatten-2012 - Macrofauna;M12;;;41;;;
KRW-maatlatten-2018 - Macrofauna;M12;;;41;;;
KRW-maatlatten-2012 - Macrofauna;M13;;;61;;;
KRW-maatlatten-2018 - Macrofauna;M13;;;61;;;
KRW-maatlatten-2012 - Macrofauna;M14;;;34;;;
KRW-maatlatten-2018 - Macrofauna;M14;;;34;;;
KRW-maatlatten-2012 - Macrofauna;M16;;;41;;;
KRW-maatlatten-2018 - Macrofauna;M16;;;41;;;
KRW-maatlatten-2012 - Macrofauna;M17;;;41;;;
KRW-maatlatten-2018 - Macrofauna;M17;;;41;;;
KRW-maatlatten-2012 - Macrofauna;M18;;;41;;;
KRW-maatlatten-2018 - Macrofauna;M18;;;41;;;
KRW-maatlatten-2012 - Macrofauna;M1a;;;;85;25;
KRW-maatlatten-2018 - Macrofauna;M1a;;;;85;25;
KRW-maatlatten-2012 - Macrofauna;M1b;;;;85;25;
KRW-maatlatten-2018 - Macrofauna;M1b;;;;85;25;
KRW-maatlatten-2012 - Macrofauna;M2;;;;70;25;
KRW-maatlatten-2018 - Macrofauna;M2;;;;70;25;
KRW-maatlatten-2012 - Macrofauna;M20;;;34;;;
KRW-maatlatten-2018 - Macrofauna;M20;;;34;;;
KRW-maatlatten-2012 - Macrofauna;M21;;;34;;;
KRW-maatlatten-2012 - Macrofauna;M21a;;;34;;;
KRW-maatlatten-2012 - Macrofauna;M21b;;;34;;;
KRW-maatlatten-2012 - Macrofauna;M22;;;26;;;
KRW-maatlatten-2018 - Macrofauna;M22;;;26;;;
KRW-maatlatten-2012 - Macrofauna;M23;;;41;;;
KRW-maatlatten-2018 - Macrofauna;M23;;;41;;;
KRW-maatlatten-2012 - Macrofauna;M25;;;34;;;
KRW-maatlatten-2018 - Macrofauna;M25;;;34;;;
KRW-maatlatten-2012 - Macrofauna;M26;;;51;;;
KRW-maatlatten-2018 - Macrofauna;M26;;;51;;;
KRW-maatlatten-2012 - Macrofauna;M27;;;34;;;
KRW-maatlatten-2018 - Macrofauna;M27;;;34;;;
KRW-maatlatten-2012 - Macrofauna;M3;;;;80;30;
KRW-maatlatten-2018 - Macrofauna;M3;;;;80;30;
KRW-maatlatten-2012 - Macrofauna;M30;0;1000;15;;;
KRW-maatlatten-2018 - Macrofauna;M30;0;1000;15;;;
KRW-maatlatten-2012 - Macrofauna;M30;1000.0001;2000;41;;;
KRW-maatlatten-2018 - Macrofauna;M30;1000.0001;2000;41;;;
KRW-maatlatten-2012 - Macrofauna;M30;2000.0001;999999999;65;;;
KRW-maatlatten-2018 - Macrofauna;M30;2000.0001;999999999;65;;;
KRW-maatlatten-2012 - Macrofauna;M31;;;41;;;
KRW-maatlatten-2018 - Macrofauna;M31;;;41;;;
KRW-maatlatten-2012 - Macrofauna;M4;;;;60;20;
KRW-maatlatten-2018 - Macrofauna;M4;;;;60;20;
KRW-maatlatten-2012 - Macrofauna;M5;;;21;;;
KRW-maatlatten-2018 - Macrofauna;M5;;;21;;;
KRW-maatlatten-2012 - Macrofauna;M6a;;;;80;30;
KRW-maatlatten-2018 - Macrofauna;M6a;;;;80;30;
KRW-maatlatten-2012 - Macrofauna;M6b;;;;45;30;
KRW-maatlatten-2018 - Macrofauna;M6b;;;;45;30;
KRW-maatlatten-2012 - Macrofauna;M7a;;;;75;40;
KRW-maatlatten-2018 - Macrofauna;M7a;;;;75;40;
KRW-maatlatten-2012 - Macrofauna;M7b;;;;45;40;
KRW-maatlatten-2018 - Macrofauna;M7b;;;;45;40;
KRW-maatlatten-2012 - Macrofauna;M8;;;;90;25;
